aoi,aoi_kind,scene,scene_date,zone,lat,lng,ndvi,ndwi,ferric_ratio,clay_ratio,albedo,lst_c,elevation_m,tpi_m,slope_deg,workings_frac,label
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C01,21.868212,80.210224,0.342,-0.424,1.601,1.348,0.105,39.7,305,-1.0,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C02,21.868212,80.213127,0.387,-0.409,1.472,1.471,0.086,37.8,307,-0.3,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C03,21.868212,80.216031,0.35,-0.433,1.642,1.318,0.101,39.1,310,2.3,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C04,21.868212,80.218934,0.332,-0.426,1.76,1.322,0.107,40.9,312,3.4,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C05,21.868212,80.221838,0.249,-0.315,1.617,1.397,0.1,39.2,308,-2.1,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C06,21.868212,80.224741,0.31,-0.418,1.706,1.325,0.117,41.9,310,-3.9,0.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C07,21.868212,80.227645,0.284,-0.424,1.937,1.291,0.12,44.2,316,-13.7,1.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C08,21.868212,80.230548,0.275,-0.429,1.882,1.351,0.116,41.8,322,-42.1,8.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C09,21.868212,80.233452,0.381,-0.473,1.635,1.577,0.094,36.2,399,13.2,17.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C10,21.868212,80.236355,0.4,-0.468,1.466,1.478,0.074,36.2,508,113.6,7.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C11,21.868212,80.239259,0.51,-0.529,1.394,1.592,0.055,38.8,455,62.0,13.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C12,21.868212,80.242162,0.531,-0.534,1.391,1.694,0.062,39.0,376,-2.0,13.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C13,21.868212,80.245066,0.391,-0.478,1.68,1.557,0.088,42.1,323,-21.4,5.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C14,21.868212,80.247969,0.365,-0.443,1.605,1.414,0.082,40.6,317,-6.1,1.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C15,21.868212,80.250873,0.308,-0.364,1.559,1.424,0.089,40.5,313,-1.0,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C16,21.868212,80.253776,0.292,-0.381,1.657,1.415,0.097,40.4,313,0.7,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C01,21.865517,80.210224,0.354,-0.425,1.603,1.366,0.097,40.1,305,-0.6,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C02,21.865517,80.213127,0.434,-0.472,1.471,1.429,0.084,39.0,306,-0.6,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C03,21.865517,80.216031,0.581,-0.537,1.219,1.621,0.062,35.6,307,0.0,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C04,21.865517,80.218934,0.301,-0.416,1.814,1.265,0.119,41.4,309,1.3,0.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C05,21.865517,80.221838,0.298,-0.413,1.758,1.298,0.119,41.1,307,-2.1,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C06,21.865517,80.224741,0.292,-0.413,1.717,1.32,0.124,42.3,309,-3.8,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C07,21.865517,80.227645,0.27,-0.41,1.855,1.28,0.124,44.1,313,-16.2,3.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C08,21.865517,80.230548,0.3,-0.454,1.873,1.463,0.114,40.6,344,-17.4,7.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C09,21.865517,80.233452,0.386,-0.496,1.794,1.559,0.076,38.3,396,17.9,10.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C10,21.865517,80.236355,0.331,-0.425,1.524,1.357,0.071,38.8,447,62.5,7.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C11,21.865517,80.239259,0.393,-0.467,1.57,1.443,0.068,41.3,389,6.1,15.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C12,21.865517,80.242162,0.4,-0.493,1.718,1.574,0.083,41.7,333,-34.3,8.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C13,21.865517,80.245066,0.304,-0.429,1.806,1.405,0.098,43.3,318,-18.0,1.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C14,21.865517,80.247969,0.371,-0.443,1.609,1.414,0.088,39.8,315,-4.7,1.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C15,21.865517,80.250873,0.447,-0.426,1.306,1.48,0.069,37.8,309,-3.7,0.7,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C16,21.865517,80.253776,0.282,-0.388,1.693,1.287,0.11,41.5,310,-1.2,0.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C01,21.862822,80.210224,0.356,-0.428,1.547,1.395,0.091,38.1,305,-0.1,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C02,21.862822,80.213127,0.305,-0.404,1.618,1.36,0.098,39.4,306,0.2,0.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C03,21.862822,80.216031,0.522,-0.519,1.313,1.523,0.069,37.2,305,-1.1,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C04,21.862822,80.218934,0.288,-0.392,1.655,1.214,0.111,41.3,312,5.3,0.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C05,21.862822,80.221838,0.318,-0.415,1.676,1.334,0.114,40.5,305,-2.8,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C06,21.862822,80.224741,0.303,-0.416,1.702,1.325,0.122,41.5,307,-4.6,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C07,21.862822,80.227645,0.26,-0.404,1.852,1.299,0.126,43.7,311,-17.7,1.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C08,21.862822,80.230548,0.266,-0.418,1.848,1.326,0.114,43.5,327,-29.5,5.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C09,21.862822,80.233452,0.304,-0.407,1.558,1.275,0.085,39.1,359,-9.0,9.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C10,21.862822,80.236355,0.441,-0.5,1.518,1.5,0.066,39.2,425,52.8,2.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C11,21.862822,80.239259,0.39,-0.504,1.845,1.573,0.08,42.4,335,-35.3,11.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C12,21.862822,80.242162,0.275,-0.438,1.993,1.433,0.108,45.1,325,-28.8,2.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C13,21.862822,80.245066,0.191,-0.302,1.768,1.342,0.102,42.4,314,-12.7,1.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C14,21.862822,80.247969,0.343,-0.419,1.593,1.419,0.091,40.3,311,-4.5,0.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C15,21.862822,80.250873,0.362,-0.393,1.512,1.315,0.094,38.2,308,-2.9,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R03C16,21.862822,80.253776,0.31,-0.409,1.679,1.309,0.107,42.1,309,-0.6,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C01,21.860127,80.210224,0.423,-0.45,1.465,1.494,0.074,36.3,304,-1.2,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C02,21.860127,80.213127,0.44,-0.444,1.347,1.508,0.071,37.9,306,0.4,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C03,21.860127,80.216031,0.33,-0.422,1.617,1.363,0.109,40.1,304,-1.7,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C04,21.860127,80.218934,0.294,-0.408,1.723,1.323,0.109,41.6,305,-1.0,0.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C05,21.860127,80.221838,0.309,-0.408,1.663,1.357,0.1,39.9,305,-1.6,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C06,21.860127,80.224741,0.343,-0.433,1.656,1.42,0.097,40.3,306,-4.8,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C07,21.860127,80.227645,0.28,-0.406,1.743,1.314,0.121,42.3,310,-17.3,0.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C08,21.860127,80.230548,0.266,-0.402,1.747,1.288,0.107,42.5,315,-34.1,9.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C09,21.860127,80.233452,0.31,-0.423,1.6,1.338,0.084,40.3,406,50.6,13.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C10,21.860127,80.236355,0.408,-0.522,1.825,1.59,0.075,41.2,449,91.4,8.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C11,21.860127,80.239259,0.371,-0.493,1.87,1.48,0.09,44.1,326,-28.8,12.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C12,21.860127,80.242162,0.264,-0.425,1.984,1.336,0.126,46.0,316,-23.0,1.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C13,21.860127,80.245066,0.301,-0.429,1.791,1.375,0.105,43.1,313,-4.6,0.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C14,21.860127,80.247969,0.346,-0.416,1.59,1.358,0.095,40.9,309,-2.4,0.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C15,21.860127,80.250873,0.339,-0.419,1.622,1.333,0.102,40.5,311,2.0,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R04C16,21.860127,80.253776,0.298,-0.389,1.658,1.324,0.111,39.8,307,-1.0,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C01,21.857432,80.210224,0.475,-0.455,1.282,1.535,0.069,34.5,304,-1.4,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C02,21.857432,80.213127,0.608,-0.541,1.122,1.672,0.05,34.1,304,-1.5,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C03,21.857432,80.216031,0.382,-0.447,1.558,1.413,0.094,38.7,303,-2.5,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C04,21.857432,80.218934,0.38,-0.451,1.558,1.445,0.089,38.8,304,-1.6,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C05,21.857432,80.221838,0.354,-0.439,1.622,1.431,0.088,39.3,305,-1.3,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C06,21.857432,80.224741,0.325,-0.434,1.703,1.387,0.102,40.6,305,-5.9,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C07,21.857432,80.227645,0.286,-0.411,1.729,1.312,0.122,42.4,307,-19.2,1.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C08,21.857432,80.230548,0.256,-0.384,1.648,1.276,0.098,40.3,315,-28.7,9.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C09,21.857432,80.233452,0.382,-0.472,1.57,1.395,0.068,41.8,411,63.8,8.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C10,21.857432,80.236355,0.38,-0.497,1.794,1.51,0.076,42.8,395,46.5,12.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C11,21.857432,80.239259,0.283,-0.428,1.831,1.325,0.098,46.1,320,-24.8,8.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C12,21.857432,80.242162,0.301,-0.427,1.795,1.35,0.106,44.7,311,-19.0,1.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C13,21.857432,80.245066,0.334,-0.439,1.694,1.362,0.096,42.0,308,-4.8,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C14,21.857432,80.247969,0.346,-0.422,1.605,1.386,0.103,41.6,307,-2.5,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C15,21.857432,80.250873,0.454,-0.465,1.41,1.453,0.078,38.6,306,-1.7,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R05C16,21.857432,80.253776,0.286,-0.388,1.705,1.288,0.118,41.6,306,-1.0,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C01,21.854737,80.210224,0.381,-0.391,1.344,1.465,0.078,35.3,307,1.7,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C02,21.854737,80.213127,0.397,-0.379,1.267,1.601,0.069,34.9,308,2.8,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C03,21.854737,80.216031,0.48,-0.464,1.283,1.533,0.066,35.4,307,1.9,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C04,21.854737,80.218934,0.413,-0.456,1.469,1.429,0.077,36.6,303,-2.0,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C05,21.854737,80.221838,0.624,-0.562,1.14,1.656,0.05,33.5,306,0.3,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C06,21.854737,80.224741,0.479,-0.492,1.377,1.472,0.075,38.3,306,-5.0,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C07,21.854737,80.227645,0.243,-0.331,1.499,1.177,0.095,42.3,305,-22.3,2.3,0.25,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C08,21.854737,80.230548,0.354,-0.45,1.516,1.459,0.073,38.9,329,-11.8,7.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C09,21.854737,80.233452,0.453,-0.497,1.413,1.498,0.08,40.2,373,29.5,5.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C10,21.854737,80.236355,0.41,-0.531,1.866,1.566,0.073,41.3,357,12.9,7.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C11,21.854737,80.239259,0.309,-0.406,1.596,1.237,0.081,45.0,322,-17.4,4.1,0.062,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C12,21.854737,80.242162,0.107,-0.24,1.873,1.229,0.151,43.5,314,-9.5,1.2,0.438,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C13,21.854737,80.245066,0.166,-0.253,1.693,1.276,0.113,41.7,309,-1.4,0.8,0.125,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C14,21.854737,80.247969,0.353,-0.437,1.649,1.372,0.108,41.8,306,-2.0,0.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C15,21.854737,80.250873,0.331,-0.423,1.676,1.333,0.104,41.3,305,-2.0,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R06C16,21.854737,80.253776,0.3,-0.401,1.692,1.298,0.113,42.2,306,-0.7,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C01,21.852042,80.210224,0.518,-0.474,1.22,1.547,0.057,33.3,306,0.6,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C02,21.852042,80.213127,0.462,-0.433,1.264,1.513,0.062,33.6,306,0.8,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C03,21.852042,80.216031,0.446,-0.437,1.293,1.486,0.077,35.8,307,1.9,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C04,21.852042,80.218934,0.364,-0.419,1.447,1.364,0.095,36.9,305,0.0,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C05,21.852042,80.221838,0.625,-0.559,1.109,1.731,0.049,33.8,305,-1.0,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C06,21.852042,80.224741,0.381,-0.423,1.414,1.378,0.084,39.1,305,-7.6,0.9,0.438,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C07,21.852042,80.227645,0.118,-0.2,1.311,1.012,0.083,42.7,314,-11.4,4.9,1.0,1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C08,21.852042,80.230548,0.373,-0.448,1.472,1.4,0.068,39.3,356,22.6,4.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C09,21.852042,80.233452,0.408,-0.471,1.514,1.406,0.074,40.1,362,26.4,1.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C10,21.852042,80.236355,0.406,-0.488,1.577,1.359,0.059,42.3,337,1.3,5.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C11,21.852042,80.239259,0.229,-0.384,1.882,1.244,0.107,46.4,315,-14.4,2.6,0.125,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C12,21.852042,80.242162,0.153,-0.304,1.936,1.222,0.155,46.3,312,-4.8,1.0,0.938,1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C13,21.852042,80.245066,0.232,-0.356,1.816,1.284,0.116,43.9,307,-2.0,0.8,0.375,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C14,21.852042,80.247969,0.28,-0.402,1.726,1.312,0.119,43.8,306,-1.0,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C15,21.852042,80.250873,0.431,-0.494,1.649,1.399,0.085,41.1,305,-1.2,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R07C16,21.852042,80.253776,0.331,-0.42,1.658,1.278,0.109,42.6,306,-0.1,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C01,21.849347,80.210224,0.47,-0.385,1.102,1.586,0.05,32.8,305,-0.6,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C02,21.849347,80.213127,0.533,-0.445,1.083,1.634,0.049,32.0,305,-0.3,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C03,21.849347,80.216031,0.511,-0.467,1.196,1.59,0.066,34.6,305,-0.2,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C04,21.849347,80.218934,0.584,-0.525,1.151,1.642,0.057,33.7,305,0.1,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C05,21.849347,80.221838,0.55,-0.522,1.241,1.613,0.063,34.5,304,-3.0,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C06,21.849347,80.224741,0.375,-0.393,1.275,1.331,0.066,39.3,302,-12.2,0.6,0.5,1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C07,21.849347,80.227645,0.138,-0.19,1.164,1.026,0.064,41.3,310,-13.2,4.0,0.75,1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C08,21.849347,80.230548,0.412,-0.449,1.339,1.376,0.066,38.2,344,16.3,6.4,0.062,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C09,21.849347,80.233452,0.4,-0.508,1.751,1.489,0.064,41.2,377,47.5,4.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C10,21.849347,80.236355,0.404,-0.494,1.674,1.389,0.075,42.0,323,-5.2,6.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C11,21.849347,80.239259,0.329,-0.431,1.733,1.304,0.106,43.3,310,-11.1,1.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C12,21.849347,80.242162,0.258,-0.399,1.841,1.288,0.114,45.3,308,-4.3,0.8,0.188,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C13,21.849347,80.245066,0.297,-0.414,1.725,1.322,0.109,43.6,303,-4.8,0.4,0.062,-1
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C14,21.849347,80.247969,0.38,-0.46,1.638,1.372,0.096,41.8,304,-2.4,0.4,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C15,21.849347,80.250873,0.352,-0.423,1.565,1.279,0.108,41.8,307,1.2,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R08C16,21.849347,80.253776,0.297,-0.382,1.567,1.216,0.117,42.7,309,3.2,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R09C01,21.846653,80.210224,0.423,-0.41,1.277,1.537,0.07,34.5,305,-0.1,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R09C02,21.846653,80.213127,0.549,-0.478,1.116,1.65,0.052,33.1,304,-0.9,0.1,0.0,0
